Label,Y,Ybin,Ypbin,y_prob,Filename
pituitary,3.0,1,1,0.9884289094604202,Te-pi_0142.jpg
pituitary,3.0,1,1,1.0089989948616698,Tr-pi_1391.jpg
pituitary,3.0,1,1,0.9995971329196801,Tr-pi_1427.jpg
pituitary,3.0,1,1,0.9853178304471236,Tr-pi_0173.jpg
pituitary,3.0,1,1,0.8843505199293057,Tr-pi_1114.jpg
pituitary,3.0,1,1,1.0186642838794384,Tr-pi_1245.jpg
pituitary,3.0,1,1,0.9537841760380087,Te-pi_0203.jpg
pituitary,3.0,1,1,0.9648244550341517,Te-piTr_0004.jpg
pituitary,3.0,1,1,1.0441438833151635,Tr-pi_0677.jpg
pituitary,3.0,1,1,0.9755878121926727,Tr-pi_0666.jpg
pituitary,3.0,1,1,0.991962310963385,Te-pi_0100.jpg
pituitary,3.0,1,1,0.9627812338264272,Tr-pi_0319.jpg
pituitary,3.0,1,1,0.9687053302529227,Tr-pi_0649.jpg
pituitary,3.0,1,1,1.0583588337369538,Te-pi_0107.jpg
pituitary,3.0,1,1,0.9901166547262417,Tr-pi_0868.jpg
pituitary,3.0,1,1,1.0830153241936986,Tr-pi_0433.jpg
pituitary,3.0,1,1,1.0285968624205888,Te-pi_0067.jpg
pituitary,3.0,1,1,0.9340523946027764,Tr-pi_0770.jpg
pituitary,3.0,1,1,0.9679026141852245,Tr-pi_0686.jpg
pituitary,3.0,1,1,0.9943520807837319,Tr-pi_0481.jpg
pituitary,3.0,1,1,0.9811761721211183,Tr-pi_0422.jpg
pituitary,3.0,1,1,0.9582672254671118,Tr-pi_0873.jpg
pituitary,3.0,1,1,0.8076745095497667,Tr-pi_0515.jpg
pituitary,3.0,1,1,1.0240188661649838,Tr-pi_0808.jpg
pituitary,3.0,1,1,0.9081384039064322,Tr-pi_0169.jpg
pituitary,3.0,1,1,1.010359838260324,Te-pi_0233.jpg
pituitary,3.0,1,1,1.0613379427110332,Tr-pi_1428.jpg
pituitary,3.0,1,1,1.0237354536568404,Tr-pi_1028.jpg
pituitary,3.0,1,1,0.6490049943068159,Tr-pi_1111.jpg
pituitary,3.0,1,1,0.7628080591962191,Tr-pi_1034.jpg
pituitary,3.0,1,1,0.9720304584354502,Tr-pi_0726.jpg
pituitary,3.0,1,1,0.9992633629577516,Tr-pi_1154.jpg
pituitary,3.0,1,1,0.9803959921844556,Tr-pi_0392.jpg
pituitary,3.0,1,1,0.9976202814179018,Tr-pi_0536.jpg
pituitary,3.0,1,1,1.0125456344350892,Tr-pi_0711.jpg
pituitary,3.0,1,1,0.8768023112246065,Tr-pi_0916.jpg
pituitary,3.0,1,1,1.0646034269212004,Tr-pi_0531.jpg
pituitary,3.0,1,1,0.9920754458528616,Tr-pi_0147.jpg
pituitary,3.0,1,1,0.9452943131314818,Tr-pi_0771.jpg
pituitary,3.0,1,1,0.8123544353128129,Tr-pi_1067.jpg
pituitary,3.0,1,1,1.0018684085404856,Tr-pi_0344.jpg
pituitary,3.0,1,1,1.0461275246811987,Tr-pi_0748.jpg
pituitary,3.0,1,1,1.0533287320254596,Tr-pi_1278.jpg
