Label,Y,Ybin,Ypbin,y_prob,Filename
pituitary,3.0,1,1,0.9780279035287422,Te-pi_0142.jpg
pituitary,3.0,1,1,0.9635887158366025,Tr-pi_1391.jpg
pituitary,3.0,1,1,0.9774457818259613,Tr-pi_1427.jpg
pituitary,3.0,1,1,0.9773134133147009,Tr-pi_0173.jpg
pituitary,3.0,1,1,0.9999999881027746,Tr-pi_1114.jpg
pituitary,3.0,1,1,0.970496077290719,Tr-pi_1245.jpg
pituitary,3.0,1,1,0.9755249422118137,Te-pi_0203.jpg
pituitary,3.0,1,1,0.9791434531554978,Te-piTr_0004.jpg
pituitary,3.0,1,1,0.9758589702451439,Tr-pi_0677.jpg
pituitary,3.0,1,1,0.9843789454593649,Tr-pi_0666.jpg
pituitary,3.0,1,1,0.9758605191358397,Te-pi_0100.jpg
pituitary,3.0,1,1,0.9730432723047314,Tr-pi_0319.jpg
pituitary,3.0,1,1,0.9834224686913761,Tr-pi_0649.jpg
pituitary,3.0,1,1,0.9690802691098948,Te-pi_0107.jpg
pituitary,3.0,1,1,0.9759287700144049,Tr-pi_0868.jpg
pituitary,3.0,1,1,0.9835614111443398,Tr-pi_0433.jpg
pituitary,3.0,1,1,0.9709787294386861,Te-pi_0067.jpg
pituitary,3.0,1,1,0.96514196537182,Tr-pi_0770.jpg
pituitary,3.0,1,1,0.9733160059297773,Tr-pi_0686.jpg
pituitary,3.0,1,1,0.972992588854381,Tr-pi_0481.jpg
pituitary,3.0,1,1,0.9734349136044715,Tr-pi_0422.jpg
pituitary,3.0,1,1,0.9636639219232952,Tr-pi_0873.jpg
pituitary,3.0,1,1,0.999999995847511,Tr-pi_0515.jpg
pituitary,3.0,1,1,0.9674727017262995,Tr-pi_0808.jpg
pituitary,3.0,1,1,0.9740939107996037,Tr-pi_0169.jpg
pituitary,3.0,1,1,0.9707215928447093,Te-pi_0233.jpg
pituitary,3.0,1,1,0.970635198116096,Tr-pi_1428.jpg
pituitary,3.0,1,1,0.9854437963821208,Tr-pi_1028.jpg
pituitary,3.0,1,1,0.9642323591344082,Tr-pi_1111.jpg
pituitary,3.0,1,1,0.9885864411963541,Tr-pi_1034.jpg
pituitary,3.0,1,1,0.9739561383147526,Tr-pi_0726.jpg
pituitary,3.0,1,1,0.9707674468641921,Tr-pi_1154.jpg
pituitary,3.0,1,1,0.9647875252218414,Tr-pi_0392.jpg
pituitary,3.0,1,1,0.9792498865627814,Tr-pi_0536.jpg
pituitary,3.0,1,1,0.9816274095045238,Tr-pi_0711.jpg
pituitary,3.0,1,1,0.9999990523722881,Tr-pi_0916.jpg
pituitary,3.0,1,1,0.9952580605508572,Tr-pi_0531.jpg
pituitary,3.0,1,1,0.974228581024763,Tr-pi_0147.jpg
pituitary,3.0,1,1,0.9730606088824273,Tr-pi_0771.jpg
pituitary,3.0,1,1,0.9958749204854361,Tr-pi_1067.jpg
pituitary,3.0,1,1,0.9665091059971831,Tr-pi_0344.jpg
pituitary,3.0,1,1,0.9705897064515553,Tr-pi_0748.jpg
pituitary,3.0,1,1,0.972408176274287,Tr-pi_1278.jpg
pituitary,3.0,1,1,0.9733488304099845,Tr-pi_0443.jpg
pituitary,3.0,1,1,0.9786244208139059,Tr-pi_1228.jpg
pituitary,3.0,1,1,0.9708030738645723,Tr-pi_1164.jpg
pituitary,3.0,1,1,0.9781020801808289,Te-pi_0285.jpg
pituitary,3.0,1,1,0.9719246273424113,Te-pi_0230.jpg
pituitary,3.0,1,1,0.9758405078524488,Tr-pi_1272.jpg
pituitary,3.0,1,1,0.997409102587886,Te-pi_0032.jpg
pituitary,3.0,1,1,0.9700273139790625,Tr-piTr_0009.jpg
pituitary,3.0,1,1,0.994824224085389,Tr-pi_0704.jpg
pituitary,3.0,1,1,0.9703939468266243,Tr-pi_1286.jpg
pituitary,3.0,1,1,0.9888607711950971,Tr-pi_0024.jpg
pituitary,3.0,1,1,0.977639853907661,Te-pi_0118.jpg
pituitary,3.0,1,1,0.9999998988592967,Tr-pi_0712.jpg
pituitary,3.0,1,1,0.9695998643259945,Tr-pi_0317.jpg
pituitary,3.0,1,1,0.9944901070457968,Te-pi_0042.jpg
pituitary,3.0,1,1,0.97257019029302,Tr-pi_0787.jpg
pituitary,3.0,1,1,0.9818802998027936,Tr-pi_0829.jpg
pituitary,3.0,1,1,0.9769151735002992,Tr-pi_1435.jpg
pituitary,3.0,1,1,0.9730153441774531,Tr-pi_0389.jpg
pituitary,3.0,1,1,0.9999996474366123,Tr-pi_1076.jpg
pituitary,3.0,1,1,0.9756173931210694,Te-pi_0238.jpg
pituitary,3.0,1,0,0.3048694891392378,Tr-pi_1013.jpg
pituitary,3.0,1,1,0.9745236150881084,Tr-pi_1181.jpg
pituitary,3.0,1,1,0.9772183693622664,Tr-pi_1255.jpg
pituitary,3.0,1,1,0.9771803603214357,Te-piTr_0007.jpg
pituitary,3.0,1,1,0.9697183173520948,Tr-pi_0403.jpg
pituitary,3.0,1,1,0.9967840138823241,Tr-pi_0395.jpg
pituitary,3.0,1,1,0.9891956136478355,Tr-pi_0204.jpg
pituitary,3.0,1,1,0.9778623253408466,Tr-pi_0582.jpg
pituitary,3.0,1,1,0.9965031095891571,Tr-pi_0056.jpg
pituitary,3.0,1,1,0.9734650654309297,Tr-pi_1178.jpg
pituitary,3.0,1,1,0.9893515362162902,Te-pi_0037.jpg
pituitary,3.0,1,1,0.9613227084164128,Tr-pi_0468.jpg
pituitary,3.0,1,1,0.9800840988662444,Tr-pi_1344.jpg
pituitary,3.0,1,1,0.9707031029775706,Tr-pi_1389.jpg
pituitary,3.0,1,1,0.9696393559322305,Tr-pi_1210.jpg
pituitary,3.0,1,1,0.9810052723399052,Tr-pi_1204.jpg
pituitary,3.0,1,1,0.9708866659268136,Tr-pi_1424.jpg
pituitary,3.0,1,1,0.9795360384349494,Tr-pi_0834.jpg
pituitary,3.0,1,1,0.9752242770277347,Te-pi_0196.jpg
